Hemisphere,Month,Day,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SH,June,17,13.745,13.409,13.18,12.881,13.108,13.639,13.165,14.126,13.236,13.412,13.678,14.118,13.647,12.512,14.18,14.026,13.422,13.555,13.523,14.235,14.08,14.598,13.515,13.782,14.497,14.831,14.656,13.518,12.659,13.139,12.244,13.481,13.872,12.362,
SH,June,18,13.87,13.5,13.163,13.092,13.268,13.84,13.293,14.204,13.388,13.587,13.696,14.171,13.737,12.664,14.312,14.094,13.48,13.599,13.658,14.352,14.223,14.771,13.602,13.877,14.602,15.014,14.795,13.629,12.747,13.106,12.4,13.536,13.846,12.438,
SH,June,19,14.04,13.629,13.29,13.221,13.395,13.972,13.368,14.231,13.406,13.716,13.83,14.291,13.882,12.753,14.298,14.151,13.509,13.701,13.782,14.457,14.293,14.825,13.679,13.973,14.604,15.084,14.94,13.823,12.723,13.197,12.6,13.576,13.886,12.483,
SH,June,20,14.193,13.77,13.368,13.255,13.497,14.17,13.617,14.356,13.523,13.8,13.887,14.334,14.005,12.836,14.3,14.259,13.539,13.845,13.894,14.576,14.415,14.916,13.744,14.081,14.57,15.186,15.039,13.876,12.868,13.336,12.764,13.71,13.966,12.528,
SH,June,21,14.333,13.889,13.522,13.2,13.599,14.31,13.749,14.443,13.658,13.905,13.998,14.352,14.094,12.959,14.35,14.388,13.741,13.881,14.028,14.679,14.477,14.99,13.834,14.165,14.664,15.401,15.156,13.946,12.978,13.482,12.913,13.834,14.114,12.5,
SH,June,22,14.407,13.974,13.692,13.269,13.694,14.438,13.905,14.481,13.679,14.085,14.133,14.47,14.178,13.161,14.431,14.526,13.865,13.954,14.132,14.782,14.575,15.107,13.916,14.268,14.759,15.533,15.233,14.076,13.036,13.573,13.024,13.983,14.183,12.587,
SH,June,23,14.418,14.013,13.773,13.467,13.76,14.474,14.02,14.599,13.768,14.187,14.231,14.57,14.297,13.396,14.577,14.675,14.016,14.042,14.296,14.874,14.638,15.22,14.007,14.365,14.832,15.592,15.317,14.117,13.197,13.744,13.164,14.093,14.289,12.694,
SH,June,24,14.458,14.097,13.879,13.607,13.848,14.513,14.073,14.695,13.883,14.273,14.39,14.61,14.368,13.466,14.74,14.726,14.215,14.199,14.261,14.968,14.77,15.341,14.009,14.424,14.887,15.645,15.349,14.171,13.239,13.821,13.245,14.123,14.374,12.749,
SH,June,25,14.562,14.117,14.006,13.697,14.001,14.537,14.122,14.707,14.053,14.348,14.626,14.635,14.326,13.455,14.774,14.752,14.391,14.333,14.304,15.051,14.878,15.479,14.06,14.526,15.017,15.796,15.421,14.243,13.314,13.919,13.441,14.146,14.568,12.95,
SH,June,26,14.648,14.231,14.091,13.922,14.081,14.693,14.241,14.737,14.176,14.446,14.68,14.598,14.361,13.594,14.917,14.784,14.406,14.412,14.333,15.109,14.926,15.614,14.099,14.615,15.146,15.907,15.509,14.31,13.398,14.022,13.6,14.236,14.698,13.09,
SH,June,27,14.763,14.224,14.154,14.072,14.185,14.7,14.363,14.799,14.32,14.497,14.79,14.649,14.436,13.634,14.979,14.857,14.478,14.507,14.366,15.09,14.981,15.67,14.226,14.76,15.221,15.984,15.612,14.429,13.456,14.087,13.663,14.337,14.883,13.261,
SH,June,28,14.807,14.237,14.155,14.209,14.27,14.723,14.4,14.795,14.371,14.547,14.951,14.753,14.595,13.676,15.062,14.987,14.511,14.63,14.495,15.157,14.921,15.733,14.287,14.891,15.34,16.084,15.743,14.52,13.555,14.188,13.705,14.418,14.94,13.365,
SH,June,29,14.881,14.289,14.223,14.284,14.441,14.781,14.461,14.815,14.449,14.641,15.075,14.864,14.67,13.855,15.155,15.071,14.569,14.744,14.507,15.098,14.956,15.838,14.358,14.983,15.488,16.153,15.866,14.656,13.714,14.342,13.816,14.49,14.948,13.459,
SH,June,30,14.974,14.378,14.268,14.358,14.625,14.847,14.541,14.851,14.486,14.689,15.182,15.002,14.716,13.977,15.252,15.156,14.698,14.835,14.604,15.17,15.003,15.915,14.428,15.013,15.5,16.306,15.968,14.759,13.805,14.459,13.893,14.541,14.985,13.605,
SH,July,1,15.021,14.469,14.418,14.53,14.686,14.933,14.665,14.922,14.523,14.791,15.272,15.127,14.821,14.061,15.333,15.197,14.831,14.925,14.785,15.155,15.11,16.004,14.496,15.05,15.575,16.401,15.979,14.851,13.883,14.588,13.942,14.614,15.071,13.679,
SH,July,2,15.048,14.553,14.423,14.474,14.725,14.964,14.792,14.961,14.656,14.784,15.333,15.198,14.933,14.104,15.461,15.27,14.977,14.994,14.925,15.239,15.239,16.084,14.595,15.122,15.607,16.449,16.042,14.819,14.027,14.694,13.986,14.687,15.218,13.81,
SH,July,3,15.033,14.604,14.452,14.489,14.824,15.055,14.91,15.065,14.837,14.965,15.365,15.213,15.045,14.17,15.511,15.403,15.016,15.04,14.974,15.369,15.295,16.089,14.632,15.311,15.672,16.512,16.101,14.854,14.172,14.744,14.057,14.804,15.345,13.925,
SH,July,4,15.094,14.75,14.472,14.6,14.946,15.201,14.974,15.203,14.987,15.092,15.392,15.401,15.097,14.318,15.556,15.44,14.957,15.086,14.942,15.421,15.269,16.174,14.668,15.332,15.755,16.601,16.198,14.996,14.264,14.83,14.165,14.956,15.392,13.967,
SH,July,5,15.096,14.777,14.599,14.728,14.937,15.365,15.027,15.217,15.057,15.084,15.417,15.476,15.079,14.469,15.609,15.442,15.028,15.226,14.94,15.48,15.364,16.271,14.682,15.441,15.914,16.627,16.332,15.148,14.369,14.885,14.317,15.066,15.506,14.056,
SH,July,6,15.151,14.792,14.612,14.755,14.985,15.548,15.081,15.236,15.123,15.161,15.479,15.585,15.162,14.639,15.75,15.498,15.156,15.389,14.994,15.555,15.45,16.379,14.768,15.584,15.988,16.627,16.397,15.413,14.478,14.98,14.398,15.126,15.648,14.133,
SH,July,7,15.217,14.836,14.705,14.93,15.08,15.643,15.147,15.349,15.164,15.294,15.558,15.685,15.291,14.737,15.753,15.577,15.294,15.492,15.106,15.66,15.601,16.423,14.776,15.649,16.139,16.632,16.467,15.559,14.574,15.038,14.446,15.159,15.74,14.173,
SH,July,8,15.186,14.877,14.789,15.232,15.098,15.611,15.164,15.423,15.246,15.374,15.732,15.73,15.385,14.751,15.836,15.661,15.322,15.64,15.172,15.631,15.752,16.433,14.747,15.759,16.232,16.642,16.526,15.604,14.653,15.127,14.577,15.249,15.841,14.315,
SH,July,9,15.167,14.909,14.858,15.376,15.247,15.604,15.231,15.416,15.303,15.447,15.837,15.861,15.457,14.776,15.892,15.824,15.396,15.624,15.332,15.602,15.914,16.485,14.821,15.883,16.33,16.533,16.609,15.683,14.632,15.284,14.647,15.325,15.83,14.387,
SH,July,10,15.212,15.03,14.974,15.431,15.492,15.667,15.37,15.485,15.345,15.441,15.909,15.829,15.541,14.85,16.024,15.969,15.454,15.689,15.421,15.566,16.038,16.586,14.936,15.968,16.435,16.489,16.666,15.795,14.722,15.344,14.772,15.417,15.913,14.532,
SH,July,11,15.26,15.106,15.011,15.586,15.589,15.76,15.416,15.568,15.432,15.458,15.962,15.786,15.636,14.961,16.025,16.132,15.601,15.736,15.385,15.669,16.122,16.683,15.094,16.078,16.511,16.494,16.756,15.907,14.804,15.405,14.906,15.391,15.881,14.616,
SH,July,12,15.368,15.276,15.061,15.709,15.779,15.887,15.53,15.721,15.573,15.49,16.079,15.771,15.607,15.136,16.036,16.291,15.871,15.788,15.417,15.817,16.269,16.816,15.302,16.163,16.519,16.665,16.761,15.992,14.889,15.494,15.006,15.414,15.922,14.627,
SH,July,13,15.437,15.351,15.122,15.795,15.849,15.995,15.566,15.862,15.712,15.556,16.183,15.868,15.635,15.224,16.122,16.297,16.043,15.913,15.488,15.897,16.35,16.942,15.383,16.171,16.692,16.712,16.7,16.047,14.969,15.601,15.04,15.455,16.072,14.657,
SH,July,14,15.499,15.428,15.198,15.799,15.883,16.11,15.7,15.911,15.806,15.665,16.223,15.937,15.72,15.336,16.18,16.294,16.123,15.902,15.636,16.118,16.35,17.002,15.415,16.204,16.768,16.76,16.7,16.067,14.992,15.662,15.142,15.57,16.223,14.661,
SH,July,15,15.542,15.453,15.329,15.912,15.811,16.275,15.754,16.021,15.873,15.86,16.222,15.961,15.789,15.487,16.229,16.335,16.184,15.919,15.784,16.171,16.32,17.013,15.57,16.268,16.802,16.803,16.746,16.08,15.009,15.695,15.299,15.633,16.386,14.782,
SH,July,16,15.593,15.503,15.451,16.023,15.881,16.391,15.732,16.198,15.941,16.008,16.273,16.082,15.779,15.481,16.351,16.406,16.186,16.033,15.883,16.27,16.499,17.011,15.789,16.386,16.917,16.845,16.758,16.109,15.068,15.712,15.416,15.634,16.547,14.855,
SH,July,17,15.69,15.601,15.546,16.031,15.914,16.476,15.722,16.35,15.992,16.101,16.383,16.121,15.775,15.497,16.466,16.45,16.287,16.11,15.949,16.29,16.638,17.011,15.849,16.481,16.899,16.873,16.744,16.113,15.198,15.828,15.62,15.726,16.633,15.065,
SH,July,18,15.757,15.694,15.63,16.129,15.893,16.525,15.711,16.438,16.024,16.198,16.452,16.158,15.804,15.598,16.564,16.525,16.382,16.173,16.038,16.368,16.574,17.044,15.985,16.564,16.893,17.017,16.809,16.191,15.369,15.89,15.699,15.813,16.739,15.207,
SH,July,19,15.821,15.75,15.826,16.219,16.096,16.629,15.746,16.58,16.168,16.288,16.465,16.309,15.832,15.75,16.692,16.622,16.548,16.31,16.12,16.418,16.43,17.187,16.103,16.546,16.962,17.167,16.774,16.2,15.582,15.919,15.663,15.868,16.927,15.357,
SH,July,20,15.957,15.933,15.963,16.31,16.158,16.793,15.859,16.673,16.259,16.321,16.514,16.306,15.939,15.871,16.745,16.718,16.659,16.429,16.257,16.527,16.437,17.252,16.256,16.541,17.112,17.276,16.801,16.184,15.702,15.953,15.576,15.977,16.809,15.386,
SH,July,21,16.031,15.99,16.158,16.455,16.158,16.938,15.926,16.709,16.379,16.386,16.613,16.342,16.053,15.945,16.873,16.747,16.744,16.521,16.411,16.613,16.492,17.242,16.418,16.577,17.253,17.411,16.853,16.231,15.84,15.979,15.652,15.977,16.894,15.4,
SH,July,22,16.007,16.117,16.377,16.516,16.262,17.044,16.083,16.813,16.439,16.422,16.748,16.313,16.162,16.03,16.97,16.798,16.776,16.638,16.553,16.546,16.553,17.233,16.459,16.623,17.316,17.52,16.881,16.359,15.969,16.141,15.803,16.114,17.064,15.483,
SH,July,23,16.13,16.173,16.446,16.571,16.393,17.097,16.234,16.75,16.545,16.411,16.912,16.429,16.302,16.056,17.022,16.856,16.836,16.814,16.701,16.507,16.618,17.252,16.476,16.784,17.242,17.639,16.919,16.471,15.996,16.211,15.935,16.222,17.186,15.504,
SH,July,24,16.212,16.213,16.44,16.672,16.529,17.177,16.403,16.706,16.672,16.548,17.02,16.494,16.376,16.192,17.085,16.836,16.934,16.925,16.85,16.494,16.687,17.238,16.52,16.871,17.287,17.757,17.039,16.576,16.039,16.242,16.006,16.272,17.254,15.436,
SH,July,25,16.232,16.301,16.463,16.671,16.577,17.198,16.482,16.819,16.76,16.651,17.025,16.566,16.431,16.298,17.129,16.807,16.989,17.005,16.91,16.404,16.74,17.318,16.662,17.006,17.393,17.822,17.186,16.626,16.074,16.287,16.172,16.383,17.288,15.452,
SH,July,26,16.292,16.341,16.482,16.82,16.66,17.168,16.508,16.927,16.868,16.792,17.071,16.597,16.579,16.331,17.134,16.861,17.023,17.012,16.904,16.428,16.838,17.391,16.87,17.112,17.545,17.916,17.257,16.687,16.277,16.32,16.206,16.426,17.336,15.479,
SH,July,27,16.388,16.424,16.562,16.931,16.806,17.125,16.5,17.018,16.893,16.904,17,16.64,16.725,16.319,17.11,17.013,17.135,17.037,17.002,16.455,16.908,17.44,16.918,17.053,17.66,17.883,17.376,16.774,16.355,16.428,16.209,16.525,17.428,15.56,
SH,July,28,16.526,16.488,16.546,17.027,16.792,17.223,16.564,17.088,16.933,17.049,16.97,16.781,16.907,16.362,17.205,17.069,17.156,17.023,17.077,16.58,16.964,17.492,16.967,17.111,17.728,17.963,17.437,16.755,16.471,16.453,16.327,16.593,17.438,15.686,
SH,July,29,16.653,16.555,16.632,17.037,16.75,17.227,16.656,17.049,16.951,17.11,17.021,16.998,16.849,16.332,17.208,17.201,17.266,17.024,17.166,16.782,17.059,17.581,17.025,17.125,17.808,17.996,17.437,16.831,16.564,16.526,16.445,16.552,17.482,15.786,
SH,July,30,16.731,16.675,16.744,16.987,16.809,17.283,16.763,17.112,17.025,17.084,17.135,17.191,16.845,16.35,17.261,17.35,17.315,17.063,17.214,16.916,17.092,17.701,17.011,17.187,18.003,18.086,17.339,16.924,16.65,16.66,16.447,16.619,17.522,15.9,
SH,July,31,16.677,16.73,16.774,16.982,16.892,17.263,16.844,17.12,17.055,17.108,17.165,17.275,16.852,16.425,17.329,17.419,17.404,17.058,17.293,16.992,17.129,17.784,17.136,17.288,18.108,18.16,17.442,16.893,16.606,16.79,16.491,16.797,17.475,16.025,
SH,August,1,16.802,16.776,16.878,17.01,16.824,17.287,16.899,17.131,17.051,17.133,17.217,17.29,16.905,16.45,17.326,17.414,17.566,17.066,17.29,17.053,17.249,17.823,17.166,17.432,18.137,18.272,17.409,16.962,16.539,16.844,16.55,16.803,17.464,16.119,
SH,August,2,16.858,16.927,16.99,17.069,16.745,17.246,17.017,17.237,17.12,17.165,17.271,17.476,17.055,16.512,17.333,17.433,17.553,17.116,17.345,17.019,17.39,17.888,17.268,17.553,18.129,18.263,17.466,16.983,16.52,16.975,16.661,16.848,17.503,16.243,
SH,August,3,16.823,17.006,16.967,17.156,16.717,17.226,17.099,17.297,17.101,17.184,17.307,17.595,17.092,16.64,17.432,17.491,17.513,17.148,17.476,17.088,17.405,17.932,17.347,17.598,18.176,18.415,17.482,17.059,16.514,17.002,16.734,16.898,17.535,16.349,
SH,August,4,16.865,17.019,17.031,17.31,16.777,17.28,17.14,17.31,17.148,17.27,17.323,17.705,17.24,16.601,17.325,17.466,17.573,17.151,17.478,17.106,17.481,18.004,17.477,17.736,18.184,18.637,17.468,17.123,16.552,16.931,16.709,16.879,17.594,16.525,
SH,August,5,16.916,17.098,17.14,17.35,16.817,17.342,17.151,17.329,17.123,17.358,17.406,17.833,17.172,16.629,17.271,17.453,17.67,17.233,17.374,17.187,17.561,18.136,17.5,17.78,18.136,18.625,17.591,17.161,16.669,16.946,16.794,16.95,17.64,16.616,
SH,August,6,17.017,17.166,17.243,17.443,16.759,17.425,17.289,17.395,17.024,17.471,17.473,17.964,17.198,16.563,17.278,17.467,17.684,17.335,17.378,17.26,17.626,18.24,17.494,17.801,18.021,18.578,17.534,17.217,16.841,17.001,16.989,17.007,17.752,16.66,
SH,August,7,17.08,17.273,17.453,17.446,16.816,17.484,17.38,17.459,17.045,17.574,17.588,18.029,17.265,16.524,17.298,17.665,17.736,17.376,17.383,17.414,17.691,18.271,17.547,17.847,18.071,18.64,17.597,17.276,16.881,17.109,17.112,17.086,17.812,16.682,
SH,August,8,17.132,17.28,17.543,17.49,16.943,17.519,17.461,17.423,17.226,17.587,17.666,18.095,17.317,16.615,17.397,17.773,17.683,17.5,17.499,17.449,17.778,18.359,17.536,17.852,18.122,18.739,17.666,17.424,16.889,17.236,17.19,17.259,17.807,16.621,
SH,August,9,17.187,17.385,17.704,17.554,17.053,17.521,17.652,17.36,17.311,17.602,17.738,18.119,17.317,16.749,17.495,17.722,17.727,17.652,17.566,17.486,17.907,18.445,17.534,17.906,18.301,18.769,17.67,17.563,16.953,17.2,17.209,17.352,17.856,16.67,
SH,August,10,17.205,17.389,17.815,17.587,17.171,17.581,17.759,17.41,17.345,17.546,17.848,18.165,17.321,16.783,17.519,17.669,17.706,17.677,17.529,17.584,17.939,18.488,17.57,17.94,18.432,18.801,17.637,17.616,17.005,17.114,17.336,17.395,17.901,16.696,
SH,August,11,17.264,17.322,17.897,17.532,17.17,17.554,17.794,17.557,17.359,17.607,17.886,18.175,17.332,16.815,17.454,17.731,17.744,17.773,17.587,17.744,18.021,18.619,17.572,18.007,18.52,18.819,17.647,17.653,17.019,17.127,17.337,17.512,17.864,16.702,
SH,August,12,17.325,17.339,17.864,17.582,17.208,17.504,17.936,17.53,17.45,17.765,17.996,18.19,17.367,16.893,17.44,17.776,17.705,17.836,17.591,17.842,18.14,18.679,17.646,18.036,18.564,18.86,17.634,17.772,16.997,17.113,17.406,17.614,17.941,16.737,
SH,August,13,17.302,17.454,17.888,17.66,17.194,17.594,17.992,17.57,17.585,17.831,18.044,18.202,17.395,16.864,17.466,17.857,17.842,17.889,17.569,17.902,18.128,18.781,17.733,18.056,18.7,18.909,17.648,17.833,17.009,17.216,17.398,17.656,18.048,16.757,
SH,August,14,17.39,17.52,17.926,17.706,17.22,17.687,17.96,17.619,17.67,17.824,18.093,18.197,17.452,16.894,17.424,17.984,17.923,17.882,17.511,17.923,18.222,18.82,17.781,18.068,18.746,19.046,17.613,17.827,17.112,17.276,17.458,17.757,18.112,16.857,
SH,August,15,17.496,17.571,18.101,17.801,17.359,17.721,17.867,17.735,17.721,17.885,18.044,18.318,17.615,16.954,17.436,18.026,17.895,17.934,17.488,17.855,18.258,18.943,17.852,18.087,18.776,19.097,17.602,17.93,17.163,17.36,17.495,17.725,18.091,16.941,
SH,August,16,17.533,17.618,18.038,17.929,17.448,17.806,17.923,17.808,17.815,17.94,17.973,18.43,17.663,16.962,17.487,18.149,17.947,18.043,17.451,17.794,18.255,18.842,17.908,18.098,18.747,19.014,17.621,17.996,17.241,17.365,17.57,17.753,18.068,16.947,
SH,August,17,17.723,17.651,18.032,17.873,17.508,17.774,17.957,17.842,17.922,17.908,17.966,18.397,17.698,16.886,17.588,18.067,17.97,18.226,17.48,17.816,18.277,18.833,17.937,18.084,18.752,18.987,17.67,18.034,17.271,17.441,17.563,17.833,18.215,17.048,
SH,August,18,17.683,17.775,17.901,17.835,17.578,17.697,17.935,17.843,17.965,17.962,17.966,18.477,17.662,16.945,17.62,18.03,18.064,18.324,17.607,17.813,18.32,18.837,17.993,18.089,18.734,19.006,17.641,18.048,17.239,17.532,17.622,17.921,18.33,17.111,
SH,August,19,17.701,17.819,17.797,17.833,17.715,17.68,17.957,17.86,18.045,18.069,18.102,18.491,17.574,17.047,17.633,18,18.1,18.404,17.571,17.736,18.294,18.755,18.022,18.123,18.885,19.05,17.61,18.225,17.267,17.539,17.669,18.011,18.418,17.082,
SH,August,20,17.703,17.755,17.783,17.902,17.782,17.786,18.077,17.816,18.031,18.039,18.148,18.45,17.553,17.181,17.613,17.996,18.115,18.448,17.605,17.739,18.294,18.692,18.033,18.177,18.923,19.124,17.646,18.241,17.36,17.563,17.703,18.018,18.454,17.061,
SH,August,21,17.673,17.766,17.824,17.977,17.908,17.929,18.123,17.802,18.067,18.093,18.205,18.447,17.554,17.222,17.616,18.11,18.042,18.576,17.6,17.719,18.385,18.78,18.128,18.174,18.952,19.15,17.693,18.314,17.48,17.555,17.7,18.078,18.471,17.135,
SH,August,22,17.703,17.779,17.925,18.05,17.991,17.938,18.167,17.853,18.05,18.236,18.248,18.396,17.591,17.354,17.676,18.108,18.067,18.656,17.589,17.685,18.356,18.813,18.145,18.264,18.98,19.171,17.794,18.335,17.658,17.611,17.731,18.11,18.472,17.234,
SH,August,23,17.77,17.761,17.838,18.067,17.908,18.075,18.174,17.858,18.025,18.25,18.244,18.394,17.618,17.448,17.727,18.259,18.135,18.663,17.642,17.684,18.35,18.85,18.101,18.291,19.022,19.166,17.848,18.262,17.734,17.738,17.832,18.187,18.497,17.344,
SH,August,24,17.805,17.766,17.781,18.07,17.905,18.217,18.358,17.952,18.068,18.304,18.266,18.366,17.569,17.534,17.764,18.391,18.138,18.755,17.805,17.748,18.328,18.906,17.949,18.343,19.036,19.073,17.821,18.26,17.772,17.808,17.902,18.253,18.583,17.399,
SH,August,25,17.785,17.839,17.825,18.126,17.936,18.32,18.261,18.121,18.103,18.336,18.339,18.454,17.484,17.538,17.819,18.568,18.203,18.796,17.99,17.86,18.386,18.917,17.896,18.344,19.077,19.003,17.929,18.404,17.782,17.87,17.958,18.314,18.686,17.516,
SH,August,26,17.803,17.944,17.855,18.135,18.054,18.446,18.064,18.261,18.106,18.343,18.405,18.447,17.466,17.586,17.892,18.574,18.26,18.751,18.085,17.796,18.447,18.894,17.978,18.427,19.088,18.995,18.031,18.503,17.755,17.931,17.985,18.382,18.746,17.584,
SH,August,27,17.858,17.993,17.936,18.021,18.179,18.524,18.016,18.277,18.095,18.353,18.419,18.467,17.569,17.66,17.969,18.572,18.31,18.843,18.221,17.734,18.538,18.845,18.039,18.501,19.09,19.091,18.079,18.51,17.668,17.937,18.009,18.487,18.773,17.564,
SH,August,28,17.932,18.042,17.988,17.985,18.244,18.604,17.922,18.262,18.084,18.35,18.421,18.444,17.505,17.728,17.948,18.609,18.244,18.957,18.276,17.793,18.506,18.836,18.116,18.529,19.062,19.19,18.126,18.572,17.677,17.872,17.999,18.517,18.774,17.545,
SH,August,29,18.004,18.15,18.111,17.987,18.355,18.671,17.947,18.272,18.14,18.488,18.384,18.452,17.521,17.767,17.912,18.608,18.172,19.041,18.294,17.945,18.467,18.88,18.159,18.629,19.056,19.218,18.294,18.581,17.691,17.93,18.018,18.696,18.856,17.525,
SH,August,30,18.052,18.221,18.153,18.009,18.457,18.762,17.924,18.385,18.211,18.436,18.33,18.455,17.508,17.833,17.944,18.614,18.158,19.009,18.376,18.106,18.518,18.876,18.216,18.619,19.089,19.234,18.392,18.482,17.758,17.918,18.058,18.608,18.893,17.454,
SH,August,31,18.045,18.187,18.061,18.043,18.504,18.827,17.985,18.409,18.209,18.413,18.379,18.47,17.527,17.89,17.955,18.73,18.152,18.967,18.483,18.1,18.515,18.835,18.326,18.615,19.069,19.205,18.371,18.487,17.77,17.879,18.113,18.6,18.862,17.461,
SH,September,1,18.112,18.182,17.969,18.072,18.485,18.737,17.968,18.468,18.33,18.435,18.421,18.579,17.596,18.041,17.93,18.782,18.207,19.031,18.517,18.162,18.601,18.833,18.436,18.632,19.126,19.183,18.402,18.376,17.751,17.818,18.186,18.495,18.814,17.571,
SH,September,2,18.053,18.21,17.849,18.138,18.527,18.743,18.006,18.439,18.442,18.421,18.477,18.627,17.62,18.068,17.925,18.842,18.198,18.976,18.539,18.215,18.652,18.83,18.575,18.747,19.22,19.178,18.436,18.27,17.695,17.896,18.258,18.459,18.645,17.65,
SH,September,3,18.037,18.215,17.853,18.156,18.535,18.719,17.999,18.456,18.461,18.465,18.522,18.645,17.707,17.9,17.918,18.858,18.282,18.992,18.539,18.298,18.725,18.9,18.618,18.753,19.252,19.223,18.488,18.272,17.679,17.971,18.356,18.591,18.612,17.746,
SH,September,4,18.038,18.247,17.962,18.195,18.514,18.744,18.038,18.456,18.515,18.487,18.553,18.629,17.848,17.841,17.905,18.941,18.318,18.949,18.584,18.283,18.776,18.904,18.645,18.849,19.22,19.3,18.559,18.337,17.794,17.965,18.381,18.529,18.658,17.714,
SH,September,5,18.07,18.232,17.908,18.19,18.55,18.752,18.052,18.526,18.564,18.524,18.483,18.64,17.798,17.886,18.003,19.054,18.41,18.917,18.713,18.263,18.836,18.91,18.6,18.814,19.194,19.346,18.586,18.379,17.92,17.936,18.369,18.583,18.545,17.793,
SH,September,6,18.149,18.236,17.919,18.311,18.488,18.735,18.076,18.586,18.618,18.558,18.509,18.674,17.754,17.936,18.024,19.047,18.492,18.875,18.789,18.246,18.817,18.998,18.566,18.869,19.064,19.389,18.511,18.414,17.901,17.856,18.272,18.632,18.605,17.877,
SH,September,7,18.151,18.141,18.141,18.319,18.47,18.677,18.086,18.654,18.648,18.609,18.596,18.798,17.8,17.973,18.044,19.093,18.56,18.915,18.827,18.207,18.825,18.936,18.567,18.908,19.083,19.326,18.578,18.464,17.93,17.816,18.274,18.702,18.676,17.859,
SH,September,8,18.13,18.116,18.224,18.355,18.426,18.599,18.099,18.734,18.692,18.605,18.648,18.943,17.904,18.041,18.083,19.124,18.612,18.896,18.797,18.22,18.797,18.953,18.541,19.002,19.122,19.341,18.548,18.436,18.016,17.798,18.195,18.703,18.774,17.917,
SH,September,9,18.133,18.123,18.242,18.359,18.356,18.531,18.19,18.774,18.691,18.713,18.648,18.987,18.003,18.116,18.073,19.069,18.644,18.887,18.715,18.215,18.837,18.918,18.568,19.122,19.218,19.496,18.537,18.326,18.024,17.785,18.212,18.664,18.732,17.976,
SH,September,10,18.128,18.07,18.301,18.395,18.405,18.52,18.271,18.808,18.711,18.815,18.582,18.958,18.149,18.062,18.05,19.059,18.687,18.888,18.728,18.161,18.907,18.919,18.561,19.242,19.32,19.541,18.555,18.308,18.015,17.742,18.23,18.769,18.713,18.004,
SH,September,11,18.184,17.986,18.303,18.467,18.416,18.574,18.354,18.773,18.678,18.846,18.634,18.955,18.217,17.997,18.113,18.912,18.809,18.88,18.781,18.166,18.905,18.893,18.598,19.293,19.396,19.6,18.463,18.171,18.014,17.745,18.299,18.829,18.716,18.051,
SH,September,12,18.186,18.014,18.319,18.43,18.425,18.564,18.379,18.686,18.609,18.965,18.599,18.936,18.2,17.921,18.189,18.897,18.865,18.912,18.833,18.124,18.903,18.916,18.678,19.334,19.384,19.683,18.49,18.057,18.09,17.691,18.256,18.891,18.684,18.168,
SH,September,13,18.191,18.002,18.292,18.384,18.471,18.574,18.453,18.615,18.617,19.044,18.636,18.95,18.301,17.953,18.292,18.848,18.774,18.942,18.848,18.142,18.921,18.889,18.724,19.388,19.506,19.784,18.36,17.948,18.074,17.673,18.311,18.907,18.694,18.229,
SH,September,14,18.225,18.06,18.332,18.458,18.561,18.526,18.427,18.551,18.526,19.148,18.711,18.901,18.298,17.916,18.263,18.926,18.733,19.02,18.851,18.175,18.868,18.876,18.747,19.373,19.552,19.814,18.291,17.907,18.013,17.654,18.286,19.034,18.538,18.209,
SH,September,15,18.139,18.075,18.322,18.302,18.618,18.565,18.401,18.551,18.527,19.244,18.716,18.9,18.224,17.866,18.21,18.886,18.797,19.126,18.855,18.243,18.867,18.791,18.771,19.391,19.513,19.89,18.257,17.926,17.994,17.725,18.418,19.006,18.479,18.202,
SH,September,16,18.144,18.081,18.278,18.205,18.646,18.512,18.417,18.62,18.536,19.226,18.712,18.821,18.229,17.835,18.233,18.877,18.782,19.183,18.91,18.184,18.936,18.742,18.809,19.343,19.472,19.966,18.362,17.915,18.034,17.879,18.432,18.954,18.455,18.137,
SH,September,17,18.141,18.132,18.264,18.137,18.636,18.46,18.499,18.703,18.492,19.215,18.749,18.827,18.21,17.897,18.334,18.912,18.746,19.255,18.891,18.229,18.978,18.768,18.832,19.276,19.494,20.094,18.33,18.038,17.983,17.965,18.434,18.922,18.417,18.115,
SH,September,18,18.093,18.26,18.294,17.977,18.667,18.529,18.52,18.779,18.613,19.223,18.699,18.77,18.239,17.854,18.378,18.913,18.868,19.237,18.872,18.165,19.004,18.662,18.897,19.282,19.502,20.178,18.326,18.058,17.992,17.998,18.301,19,18.423,18.115,
SH,September,19,18.087,18.265,18.366,17.851,18.672,18.558,18.662,18.795,18.675,19.172,18.669,18.834,18.368,17.81,18.467,18.924,18.858,19.226,18.932,18.186,19.107,18.52,18.91,19.327,19.482,20.168,18.339,17.998,17.906,18.125,18.199,18.964,18.371,18.132,
SH,September,20,18.136,18.201,18.413,17.927,18.71,18.581,18.606,18.773,18.714,19.106,18.703,18.885,18.426,17.824,18.548,18.956,18.938,19.305,18.988,18.095,19.154,18.441,18.909,19.359,19.533,20.201,18.352,18.035,17.868,18.175,18.232,18.87,18.429,18.111,
